# Time-averaged data for fix avs
# TimeStep v_cell1 v_cell2 v_cell3 v_alpha v_beta v_gamma v_ptot v_vtot v_pxxi v_pyyi v_pzzi v_pxyi v_pxzi v_pyzi
43000 41.8383 41.7338 41.8246 90.0245 89.925 89.9713 10136.8 73028.5 9866.14 10390.9 10153.5 98.6896 11.9645 153.194
43500 41.7442 41.8147 41.7724 89.9528 90.0657 89.9667 10005.9 72914.4 10172.8 9672.21 10172.6 18.7409 -12.4075 -23.3597
44000 41.8067 41.7824 41.7648 89.9487 90.0504 89.9969 9938.17 72953.6 9676.91 10165.5 9972.13 -102.885 171.976 -201.401
44500 41.7811 41.7734 41.8319 90.0781 89.9632 90.0138 10191.4 73010.2 10290.9 10381.4 9901.92 57.1077 -93.5143 345.022
45000 41.7377 41.8674 41.7288 89.9187 90.0197 89.9738 10079.3 72918.1 10155.9 9591.2 10490.9 -53.1821 -61.6524 -165.111
45500 41.8599 41.7052 41.8023 89.9373 90.1266 90.0217 9721.71 72976.4 9239.69 10129.9 9795.53 -28.4398 183.374 -134.754
46000 41.7132 41.8972 41.7583 90.0313 89.9094 90.0099 10123.1 72979.1 10564 9461.42 10344 14.6127 -255.864 199.452
46500 41.8236 41.7301 41.8056 89.9669 90.0423 89.9811 9891.37 72963 9525.07 9933.9 10215.1 78.4242 58.9964 -154.981
47000 41.7602 41.7979 41.7958 89.988 90.0583 90.0293 10192.3 72953.5 10628 10333.9 9615.02 -119.926 12.9239 -31.0179
47500 41.7907 41.8426 41.758 90.0655 89.9422 89.9605 9989.14 73018.9 10008 9844.11 10115.3 190.448 -87.1243 158.499
48000 41.8431 41.7095 41.8035 89.9603 90.0807 90.0065 9933.16 72957.2 9753.22 10396.6 9649.65 25.9661 168.949 -42.6971
48500 41.6806 41.8524 41.8101 89.9958 89.9692 90.0158 10092.8 72934.5 10681.2 9845.32 9751.82 114.724 -88.8159 -92.6293
49000 41.8513 41.7597 41.8027 90.0722 89.9576 89.9434 9874.46 73057.9 9465.16 10199.2 9959 -199.102 -27.385 66.9752
